"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"Andover School District","=""0010011""","Eligible for Free or Reduced-Price Meals","*","*"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",172,10.6
"Ashford School District","=""0030011""","Eligible for Free or Reduced-Price Meals",11,8.3
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",25,11.5
"Barkhamsted School District","=""0050011""","Eligible for Free or Reduced-Price Meals","*","*"
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",54,12.8
"Bethany School District","=""0080011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",69,12.2
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",174,16.2
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",7,5.7
"Bozrah School District","=""0130011""","Eligible for Free or Reduced-Price Meals","*","*"
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",62,7.8
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",3440,16.6
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",474,12.5
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",20,7.3
"Brooklyn School District","=""0190011""","Eligible for Free or Reduced-Price Meals",21,7.7
"Canaan School District","=""0210011""","Eligible for Free or Reduced-Price Meals","*","*"
"Canterbury School District","=""0220011""","Eligible for Free or Reduced-Price Meals",8,6.6
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",11,5.9
"Chaplin School District","=""0240011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",25,7.0
"Chester School District","=""0260011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",42,10.4
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",45,10.2
"Colebrook School District","=""0290011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Columbia School District","=""0300011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cornwall School District","=""0310011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",27,8.7
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",53,13.8
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",760,13.0
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Deep River School District","=""0360011""","Eligible for Free or Reduced-Price Meals","*","*"
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",137,15.6
"Eastford School District","=""0390011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",6,11.1
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",18,7.3
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",981,19.8
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",184,11.1
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",25,6.9
"Easton School District","=""0460011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",89,17.7
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",45,16.1
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",279,13.9
"Essex School District","=""0500011""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",77,7.0
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",32,7.2
"Franklin School District","=""0530011""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",27,4.9
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",14,7.7
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",92,6.9
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",101,14.2
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",241,11.8
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",25,7.8
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",415,17.1
"Hampton School District","=""0630011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",3452,18.3
"Hartland School District","=""0650011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Hebron School District","=""0670011""","Eligible for Free or Reduced-Price Meals","*","*"
"Kent School District","=""0680011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",172,13.9
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",20,9.0
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",51,9.8
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals",9,8.2
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",10,7.4
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",6,3.2
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",475,13.4
"Mansfield School District","=""0780011""","Eligible for Free or Reduced-Price Meals",13,4.0
"Marlborough School District","=""0790011""","Eligible for Free or Reduced-Price Meals","*","*"
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",957,16.7
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",293,12.9
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",155,10.6
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",9,3.2
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",78,8.9
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",243,11.3
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",1718,20.0
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",28,9.4
"New Hartford School District","=""0920011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",1465,8.7
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",120,12.6
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",569,21.6
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",89,9.5
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",19,5.2
"Norfolk School District","=""0980011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",49,15.1
"North Canaan School District","=""1000011""","Eligible for Free or Reduced-Price Meals","*","*"
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",55,11.2
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",13,8.2
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",632,11.5
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",313,10.8
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",23,8.6
"Orange School District","=""1070011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",10,5.8
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",159,14.1
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",53,7.7
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",42,8.5
"Pomfret School District","=""1120011""","Eligible for Free or Reduced-Price Meals","*","*"
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",26,10.5
"Preston School District","=""1140011""","Eligible for Free or Reduced-Price Meals","*","*"
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",90,11.4
"Redding School District","=""1170011""","Eligible for Free or Reduced-Price Meals","*","*"
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",6,3.7
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",22,6.9
"Salem School District","=""1210011""","Eligible for Free or Reduced-Price Meals","*","*"
"Salisbury School District","=""1220011""","Eligible for Free or Reduced-Price Meals","*","*"
"Scotland School District","=""1230011""","Eligible for Free or Reduced-Price Meals","*","*"
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",91,14.4
"Sharon School District","=""1250011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",135,11.8
"Sherman School District","=""1270011""","Eligible for Free or Reduced-Price Meals","*","*"
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",30,7.5
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",13,11.8
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",99,9.4
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",39,7.9
"Sprague School District","=""1330011""","Eligible for Free or Reduced-Price Meals",19,12.4
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",58,10.5
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",328,4.0
"Sterling School District","=""1360011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",55,12.1
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",386,12.0
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",25,8.5
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",29,10.8
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",36,9.1
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",21,11.9
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",278,13.1
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",37,6.1
"Union School District","=""1450011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",203,14.0
"Voluntown School District","=""1470011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",128,11.9
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",3303,21.4
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",36,8.3
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",105,16.3
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",15,12.4
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",179,8.5
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",460,12.1
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals","*","*"
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",10,4.4
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",67,8.8
"Willington School District","=""1600011""","Eligible for Free or Reduced-Price Meals","*","*"
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals","*","*"
"Winchester School District","=""1620011""","Eligible for Free or Reduced-Price Meals",34,7.6
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",454,18.3
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",237,19.9
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",88,13.5
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",58,10.3
"Woodbridge School District","=""1670011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Woodstock School District","=""1690011""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",18,21.4
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",18,14.5
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",12,10.9
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",15,11.5
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",6,5.6
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",22,17.7
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",21,10.9
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",16,17.8
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",6,8.2
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",12,5.5
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",14,6.0
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",33,9.5
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",14,6.9
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",26,12.8
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",392,13.6
"Education Connection","=""2420014""","Eligible for Free or Reduced-Price Meals","*","*"
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",24,8.7
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",219,19.4
"Learn","=""2450014""","Eligible for Free or Reduced-Price Meals",73,8.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",13,8.8
"Jumoke Academy District","=""2610013""","Eligible for Free or Reduced-Price Meals",27,7.8
"Odyssey Community School District","=""2630013""","Eligible for Free or Reduced-Price Meals",6,4.2
"Integrated Day Charter School District","=""2640013""","Eligible for Free or Reduced-Price Meals","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible for Free or Reduced-Price Meals",29,23.0
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals","*","*"
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",50,23.0
"Side By Side Charter School District","=""2700013""","Eligible for Free or Reduced-Price Meals",10,9.3
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",10,40.0
"Trailblazers Academy District","=""2780013""","Eligible for Free or Reduced-Price Meals",7,4.6
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",263,36.1
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible for Free or Reduced-Price Meals",82,25.2
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",35,23.6
"Park City Prep Charter School District","=""2830013""","Eligible for Free or Reduced-Price Meals",33,15.6
"Bridgeport Achievement First District","=""2850013""","Eligible for Free or Reduced-Price Meals",112,20.0
"Highville Charter School District","=""2860013""","Eligible for Free or Reduced-Price Meals",7,2.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible for Free or Reduced-Price Meals",392,48.1
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",133,30.6
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",54,39.7
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",1183,22.3
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",223,29.5
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",66,30.3
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",7,14.0

